Object,Attribute,Relation,Target,Question Template?Answer Template,Generated Question?Answer
straw,,to the right of,seat,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the straw?The object to the right of to the straw is seat.
straw,,to the right of,straw,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the straw to the right of?The straw to the right of the straw.
straw,,to the right of,seat,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the straw in relation to the seat?The straw is to the right of to seat.
straw,,to the left of,cup,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the straw?cup is to the left of to straw.
straw,,to the left of,boy,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the straw?boy is to the left of to straw.
straw,,to the left of,straw,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the straw?straw is to the left of to straw.
pepper,,to the left of,boy,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the pepper to the left of?The pepper to the left of the boy.
pepper,,to the left of,shoes,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the pepper?shoes is to the left of to pepper.
pepper,,to the left of,foot,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the pepper?foot is to the left of to pepper.
pepper,,to the right of,seat,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the pepper to the right of?The pepper to the right of the seat.
pepper,,to the left of,salt shaker,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the pepper?The object to the left of to the pepper is salt shaker.
pepper,,to the right of,cup,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the pepper to the right of?The pepper to the right of the cup.
pepper,,to the left of,cup,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the pepper?The object to the left of to the pepper is cup.
pepper,,to the left of,straw,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the pepper?straw is to the left of to pepper.
foot,,to the left of,shoes,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the foot?The object to the left of to the foot is shoes.
foot,,to the right of,pepper,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the foot to the right of?The foot to the right of the pepper.
foot,,to the right of,plants,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the foot?The object to the right of to the foot is plants.
foot,,to the right of,cup,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the foot?The object to the right of to the foot is cup.
foot,,to the right of,cup,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the foot?cup is to the right of to foot.
foot,,to the right of,straw,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the foot?The object to the right of to the foot is straw.
foot,,to the right of,salt shaker,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the foot in relation to the salt shaker?The foot is to the right of to salt shaker.
foot,,to the right of,cup,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the foot in relation to the cup?The foot is to the right of to cup.
salt shaker,,to the left of,shoes,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the salt shaker to the left of?The salt shaker to the left of the shoes.
salt shaker,,to the left of,foot,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the salt shaker?The object to the left of to the salt shaker is foot.
salt shaker,,to the left of,shoes,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the salt shaker in relation to the shoes?The salt shaker is to the left of to shoes.
salt shaker,,to the right of,cup,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the salt shaker?cup is to the right of to salt shaker.
salt shaker,,to the right of,seat,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the salt shaker?seat is to the right of to salt shaker.
salt shaker,,to the left of,boy,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the salt shaker to the left of?The salt shaker to the left of the boy.
salt shaker,,to the left of,straw,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the salt shaker?straw is to the left of to salt shaker.
salt shaker,,to the right of,cup,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the salt shaker to the right of?The salt shaker to the right of the cup.
salt shaker,,to the right of,pepper,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the salt shaker?pepper is to the right of to salt shaker.
cup,,to the right of,cup,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the cup?cup is to the right of to cup.
cup,,to the right of,pepper,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the cup?pepper is to the right of to cup.
cup,,to the right of,straw,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the straw?The cup is to the right of to straw.
cup,,to the left of,shoes,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the shoes.
cup,,to the left of,boy,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the boy?The cup is to the left of to boy.
cup,,to the left of,salt shaker,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the salt shaker.
cup,,to the left of,foot,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the foot.
cup,,to the right of,seat,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the cup?seat is to the right of to cup.
cup,,to the left of,straw,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the straw?The cup is to the left of to straw.
cup,,to the left of,shoes,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is shoes.
cup,,to the right of,cup,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the cup?The object to the right of to the cup is cup.
cup,,to the right of,seat,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the cup?seat is to the right of to cup.
cup,,to the left of,boy,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the boy?The cup is to the left of to boy.
cup,,to the left of,shorts,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is shorts.
cup,,to the left of,foot,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the foot.
cup,,to the left of,shoes,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the cup?shoes is to the left of to cup.
cup,,to the right of,seat,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the seat?The cup is to the right of to seat.
cup,,to the left of,shoes,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is shoes.
cup,,to the left of,foot,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is foot.
cup,,to the left of,straw,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the cup in relation to the straw?The cup is to the left of to straw.
cup,,to the left of,salt shaker,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the salt shaker.
cup,,to the left of,pepper,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is pepper.
cup,,to the left of,cup,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is cup.
cup,,to the left of,cup,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the cup?The object to the left of to the cup is cup.
cup,,to the left of,boy,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the cup to the left of?The cup to the left of the boy.
faucet,chrome,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What chrome does the faucet have?faucet has chrome.
faucet,silver,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the silver of the faucet?The silver of faucet is silver.
sink,white,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What white does the sink have?sink has white.
basket,purple,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the purple of the basket?The purple of basket is purple.
basket,wicker,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What wicker does the basket have?basket has wicker.
light switch,electric,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What electric does the light switch have?light switch has electric.
wall,blue,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What blue does the wall have?wall has blue.
shelf,small,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the small of the shelf?The small of shelf is small.
shelf,glass,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the glass of the shelf?The glass of shelf is glass.
soap,plastic,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What plastic is the soap?soap is plastic.
candle,pink,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What pink does the candle have?candle has pink.
faucet,,to the right of,soap,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the faucet?The object to the right of to the faucet is soap.
frame,,to the left of,candle,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the frame?candle is to the left of to frame.
mirror,,above,sink,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is above to the mirror?The object above to the mirror is sink.
sink,,by,faucet,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is by to the sink?The object by to the sink is faucet.
sink,,by,bottle,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the sink in relation to the bottle?The sink is by to bottle.
sink,,under,mirror,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is under to the sink?mirror is under to sink.
sink,,below,mirror,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is below to the sink?The object below to the sink is mirror.
sink,,on,counter,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the sink on?The sink on the counter.
sink,,to the left of,wall,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the sink in relation to the wall?The sink is to the left of to wall.
sink,,to the right of,soap,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the sink in relation to the soap?The sink is to the right of to soap.
counter,,to the left of,wall,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the counter?wall is to the left of to counter.
basket,,to the left of,light switch,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the basket?The object to the left of to the basket is light switch.
basket,,to the right of,candle,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the basket in relation to the candle?The basket is to the right of to candle.
light switch,,to the right of,basket,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the light switch?The object to the right of to the light switch is basket.
light switch,,on,wall,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the light switch on?The light switch on the wall.
wall,,to the right of,counter,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the wall in relation to the counter?The wall is to the right of to counter.
wall,,to the right of,shelf,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the wall?shelf is to the right of to wall.
wall,,to the right of,sink,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the wall in relation to the sink?The wall is to the right of to sink.
bottle,,to the left of,candle,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the bottle?The object to the left of to the bottle is candle.
shelf,,to the left of,wall,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the shelf in relation to the wall?The shelf is to the left of to wall.
soap,,to the left of,faucet,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the soap to the left of?The soap to the left of the faucet.
soap,,to the left of,sink,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the soap to the left of?The soap to the left of the sink.
soap,,by,sink,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the soap in relation to the sink?The soap is by to sink.
candle,,to the right of,frame,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the candle?The object to the right of to the candle is frame.
candle,,to the left of,basket,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the candle in relation to the basket?The candle is to the left of to basket.
candle,,to the right of,bottle,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the candle to the right of?The candle to the right of the bottle.
